user_id,age,gender,country,signup_date,last_login,subscription_plan,purchase_amount,feedback_score,referrer,notes,irrelevant_col
a8273311-8ddb-4daa-a2d2-a1c09710d82b,48,Male,UK,2025-06-13,2025-07-06,Free,20.0,5,Friend,Front include meeting north plant.,0.11423713859139584
38504e7d-68a3-4ed0-afb1-a616a4311363,30,female,USA,2021-11-02,2025-12-10,Premium,20.0,5,Brandon Smith,Authority discuss them city interview weight special marriage.,0.40788960850728007
39ffff26-5e29-425f-971c-5a318ba90273,43,Female,UK,2025-04-05,2025-05-12,Basic,405.0,2,ad,Short first perhaps.,0.4781589235558441
4543aaf9-2e48-49b9-88d0-cf858cebaa69,32,Male,Pakistan,2024-05-19,2025-07-18,Basic,306.0,3,Google,Enough degree seven eye modern debate.,0.24254427658297073
9e4bcf0d-4ed8-4ae6-a14e-4f0a7105694b,38,,India,2023-01-23,2024-07-12,Premium,146.0,2,Brandon Smith,Born take throw what over.,0.6235191951741544
ef6a19d3-b3e8-4d4a-80c6-5fdfc33bec84,26,female,UK,2021-08-31,2025-02-04,Premium,25.0,5,Google,Live buy show factor gas design suggest.,0.014381235984152974
f259e3dd-b5bc-4e26-a3b8-ce6989acfcf3,65,male,Pakistan,2023-12-28,2024-08-16,Premium,92.0,4,Ad,Food instead boy support including note.,0.8862882164557176
dbb5b402-3f62-4dc3-990b-e73906c929bc,33,Male,Pakistan,2024-01-21,2025-09-08,,307.0,2,Google,Policy his threat.,0.4454095211057868
258cfc56-78c2-4c5c-9297-5ad434c0c23b,59,Male,,2024-12-24,2024-07-08,Basic,146.0,2,Google,,0.11910653587671627
8ed86b64-f67f-4d96-b81d-65876fb51bbd,51,M,USA,2024-10-17,2025-05-06,Free,307.0,4,ad,,0.5425733269659556
1776d376-0759-4e22-bbc3-afb0dc38b5da,59,,UK,2025-06-06,2025-03-26,Free,275.0,,Friend,Reality maybe whatever television east measure near care.,0.7964843893295808
8a6100ec-7ac9-44c5-aa8c-c02f2e6bf4bf,25,,UK,2025-04-24,2025-04-28,Basic,306.0,5,Ad,,0.7374099443119462
a12660ac-b2c5-4feb-8ff9-6edeb6de2b77,43,female,Pakistan,2024-07-26,2025-02-04,,20.0,4,Google,College rise approach shake class on day.,0.059105820875654524
44fe4282-864a-414d-aa57-a8425244b0e3,37,male,India,2024-08-23,2025-07-30,Basic,146.0,2,Brandon Smith,Floor actually even approach father statement.,0.6320192084224364
74a2ba86-569a-4ee1-8aa8-1598990ca247,37,Female,UK,2025-09-20,2024-10-03,,25.0,,Ad,Interest as manager success yet something room.,0.7056353963689815
1695d7f5-0d1b-436a-a7eb-a8e53f467d37,41,F,UK,2022-02-24,2025-08-21,Premium,275.0,5,Friend,,0.8353725302842461
84a08f52-7e8d-4970-b411-5e3bd40f7e23,28,female,UK,2022-07-15,2024-08-07,Free,275.0,,ad,Stuff my space from six when any.,0.9117258769127757
509cfa37-6c9c-4503-b7f5-83ca17fa54d1,19,female,us,2025-12-18,2025-01-13,Basic,,2,Friend,President floor likely response.,0.5815642044379887
ba166248-9ae8-4429-8e0b-5c7efe883c3e,18,,UK,2024-05-09,2025-06-11,Premium,231.0,,Friend,Republican step husband face leader affect.,0.5624293741179209
d617308a-4246-4cab-a530-f75cc61a9b7e,36,,India,2021-10-19,2024-12-28,,,,Friend,Pass movement some process leader southern.,0.41586133940794756
1f8f28e9-6c93-4e6f-8060-c6a65797775b,59,M,Pakistan,2025-11-08,2025-04-02,Premium,,1,,Sign often these customer important.,0.17187651213592425
565cab04-887c-496d-ba5e-57c4f1f91f3a,28,M,UK,2023-11-06,2025-03-24,,146.0,2,Brandon Smith,Point head crime mention government car kid.,0.3249227944066413
e51cc14e-e179-4f4c-a9e6-92b26e24a1c5,54,,us,2025-05-19,2025-03-09,Basic,306.0,,Google,,0.6757612928952238
1556e67c-c261-4245-a625-e16ac6d7c1a8,69,F,USA,2023-08-14,2024-06-22,Free,25.0,,Friend,Chance miss difficult property.,0.2596032837084785
98a02a73-07b9-4665-ab93-669cdd303446,47,Male,,2025-07-09,2024-11-29,Basic,37.0,,,Evening night shake include name national.,0.5153051879943767
58bf14b9-4277-47e4-85e6-8aedaac19586,56,,UK,2025-07-02,2024-07-07,Free,146.0,1,Ad,Consider attack interesting century.,0.7088991127733161
70aed2cd-80a4-4310-bcd5-56d00749d9ec,18,female,us,2022-03-31,2025-02-16,,405.0,3,Ad,,0.2902551053725294
60597a05-ed2e-403a-a82f-c67e8b4c55b1,60,M,India,2024-06-08,2025-03-23,Free,20.0,1,Ad,,0.31730547742048654
8a1d76fe-05c2-4520-80d0-922dcd5e989c,23,Male,UK,2022-02-17,2024-10-05,Basic,405.0,,Google,,0.009543353067226645
df8a3d53-ba10-4135-8d54-b4fec76296b9,43,male,UK,2025-01-03,2025-05-08,Basic,25.0,3,Ad,Hotel could morning easy guy computer management.,0.14722707441051697
a9061315-a4b6-46d2-bedf-c1f7d7df529b,39,Female,Pakistan,2024-12-06,2025-07-06,,92.0,3,ad,Lay realize produce.,0.5322228748561939
da1ab9e2-eede-4370-936e-a32737786aeb,39,F,Pakistan,2022-01-02,2025-08-17,Basic,146.0,1,ad,Hard serve however activity claim history option.,0.5375846256925658
546d5de4-ace0-49b2-a802-8daa38226715,36,female,Pakistan,2024-05-13,2024-08-05,Free,307.0,2,,Church career seem.,0.3669614070072005
31fcad97-5a54-4948-9769-c333d9f4e440,50,male,us,2021-09-26,2025-03-12,Premium,405.0,5,Ad,Voice knowledge tree the.,0.7396828977631081
4b0c50c7-c44c-4574-9659-4bfec7ce0444,41,F,,2023-07-18,2025-05-18,Premium,37.0,4,,Quality career live through garden teacher should.,0.8437550439872936
11dcde38-40cf-458d-b265-23ff121b3242,31,,UK,2021-06-17,2024-07-12,Free,20.0,3,,To often before decide.,0.39864249421306397
7239e7bc-9164-42ab-8dd7-4fff1a285589,56,,UK,2022-04-29,2025-09-02,,306.0,,Friend,,0.4872120069219139
70b890fa-e247-4242-810b-119458edc0a2,43,female,us,2025-03-20,2025-10-03,Premium,307.0,2,Friend,Statement specific agree billion let purpose.,0.4567305928858403
fe9138f2-70d7-4ad4-8136-aa34f5c926e1,32,Male,UK,2023-07-06,2024-09-05,Basic,231.0,1,ad,Tv evening could report.,0.351542260049698
91c97f7b-0fbe-4ea3-8d09-fe211c4226fb,25,,UK,2023-12-25,2026-02-11,Premium,405.0,4,Ad,Require cost candidate time skin agree.,0.2650812843385726
0f7007d8-1727-4f79-a941-69ba24247384,61,female,USA,2022-12-12,2026-02-15,Premium,25.0,5,ad,Hand race break property start.,0.997518131172675
0c4961b3-7d05-4e89-bac1-1572b4e083f7,49,,us,2023-10-05,2024-07-05,,,1,ad,Kind another owner decade develop similar trade perform.,0.02461798384123859
196d6960-d54c-4b24-a2f4-024c64b95735,50,F,USA,2025-12-04,2025-01-01,Free,275.0,3,Brandon Smith,Worker purpose cut one return there like investment.,0.8456535222773424
32c8eaf5-2c9c-4914-b0f3-09f8f01b7d90,40,,us,2025-04-03,2024-03-31,Basic,306.0,1,Brandon Smith,I member section amount indicate.,0.9811815587938422
06761cd0-d61b-47ad-875b-636ceb63da8b,52,F,Pakistan,2021-03-18,2025-07-20,,37.0,4,Friend,Brother situation style analysis.,0.33726689605422633
a40de0d5-b980-4d12-8c6d-e1ba62351dbe,64,male,India,2025-01-28,2024-10-24,,20.0,2,Brandon Smith,Method program per million first involve.,0.20348799455531252
505e1b35-264d-418e-9d0d-a58581236c91,68,,Pakistan,2024-01-18,2024-04-18,Free,275.0,2,Ad,Sea chance into shake food college.,0.5940494655668112
b35bcdad-61cb-441d-86a0-5956f10ff608,53,male,UK,2021-09-23,2025-04-09,Premium,405.0,4,,Car floor behavior even.,0.691416057513152
4c5aaca6-0a8f-4f73-adbe-676aea52a122,29,Female,UK,2025-05-28,2025-07-19,,275.0,3,,,0.16462842825866875
9d186313-9cda-417c-b17f-1fb9c581af55,37,M,Pakistan,2025-01-03,2024-06-15,Basic,307.0,4,Friend,Might mission simple her.,0.28135062185384163
